Id,SalePrice
1461,118301.9
1462,163050.83
1463,186380.42
1464,184251.53
1465,197266.33
1466,175606.2
1467,170525.84
1468,172912.19
1469,182827.78
1470,126773.95
1471,180494.69
1472,93822.09
1473,96155.375
1474,156036.9
1475,137932.25
1476,380452.5
1477,258967.16
1478,298208.28
1479,300480.1
1480,515530.72
1481,342520.62
1482,211124.12
1483,177849.81
1484,167995.94
1485,174657.2
1486,197003.12
1487,365993.06
1488,245757.73
1489,223362.75
1490,221511.48
1491,181457.42
1492,101766.2
1493,167028.17
1494,302631.8
1495,302900.34
1496,245478.75
1497,194277.45
1498,164999.44
1499,160157.19
1500,155317.6
1501,178944.1
1502,169423.72
1503,280657.3
1504,239894.23
1505,236846.03
1506,195345.72
1507,240158.39
1508,208864.33
1509,166816.44
1510,143187.84
1511,145511.83
1512,161669.83
1513,137345.77
1514,141188.02
1515,174902.89
1516,153406.52
1517,157290.58
1518,131289.62
1519,222851.05
1520,137687.14
1521,143949.94
1522,163972.73
1523,124185.99
1524,124522.086
1525,118771.49
1526,131608.17
1527,108444.47
1528,134385.78
1529,144644.19
1530,153462.7
1531,106416.44
1532,91626.92
1533,139064.19
1534,122048.27
1535,145732.23
1536,121477.875
1537,71069.17
1538,158483.72
1539,220060.53
1540,101611.43
1541,141536.38
1542,141439.77
1543,226899.48
1544,86737.01
1545,104861.05
1546,121603.99
1547,145432.06
1548,136742.6
1549,115230.055
1550,145513.08
1551,117465.81
1552,110469.945
1553,137958.3
1554,117546.72
1555,169741.84
1556,91271.35
1557,125834.54
1558,89633.516
1559,79225.53
1560,139253.97
1561,131408.25
1562,124761.13
1563,122075.4
1564,155869.44
1565,143305.88
1566,219595.75
1567,79289.02
1568,243664.12
1569,123687.67
1570,130212.266
1571,123916.49
1572,143731.95
1573,246384.31
1574,115890.086
1575,201104.9
1576,213170.38
1577,199025.03
1578,151093.27
1579,147350.7
1580,189356.84
1581,148966.69
1582,134814.02
1583,308750.84
1584,219485.61
1585,141757.92
1586,67213.32
1587,97193.41
1588,141536.11
1589,97823.24
1590,139206.44
1591,102038.7
1592,128315.94
1593,118238.516
1594,118102.94
1595,114800.08
1596,236396.73
1597,178608.39
1598,192958.14
1599,181017.02
1600,178878.75
1601,63485.543
1602,113113.63
1603,76112.7
1604,284107.3
1605,245464.0
1606,171308.73
1607,155169.39
1608,211310.84
1609,194898.75
1610,155689.83
1611,149438.1
1612,163111.95
1613,157423.69
1614,109353.51
1615,87970.53
1616,77917.164
1617,86630.36
1618,126295.0
1619,131027.695
1620,141126.1
1621,135480.75
1622,145353.03
1623,232417.88
1624,215283.47
1625,127820.67
1626,160033.81
1627,190140.94
1628,281502.5
1629,185209.9
1630,373266.1
1631,211001.12
1632,247736.97
1633,170837.89
1634,185667.6
1635,174580.77
1636,163633.28
1637,192900.55
1638,191413.8
1639,182965.05
1640,219203.22
1641,188965.38
1642,235791.28
1643,231181.05
1644,240426.97
1645,186826.56
1646,159590.0
1647,145044.78
